,CarName,Owner,YearofPurchase,Transmission,Model,Distance,Fuel,Price,website,Product_url
532,Maruti Suzuki S-Presso (2020),1st,2015,MANUAL,VXI,2100.0 KM,PETROL,"₹ 4,11,000",olx.in,https://www.olx.in/item/maruti-suzuki-s-presso-vxi-2020-petrol-iid-1654292812
533,Maruti Suzuki Wagon R (2010),1st,2013,MANUAL,LXI,85000.0 KM,PETROL,"₹ 1,85,000",olx.in,https://www.olx.in/item/maruti-suzuki-wagon-r-lxi-2010-petrol-iid-1646292653
534,Toyota Innova (2005),3rd,2008,MANUAL,2.0 VX (Petrol) 7 Seater,78000.0 KM,CNG & HYBRIDS,"₹ 2,75,000",olx.in,https://www.olx.in/item/toyota-innova-20-vx-petrol-7-seater-2005-cng-hybrids-iid-1654293396
535,Maruti Suzuki Vitara Brezza (2017),2nd,2016,MANUAL,ZDi,49000.0 KM,DIESEL,"₹ 7,90,000",olx.in,https://www.olx.in/item/maruti-suzuki-vitara-brezza-zdi-2017-diesel-iid-1655873630
536,Mahindra Scorpio (2012),2nd,2018,MANUAL,2002-2013 Vlx BS-IV,70000.0 KM,DIESEL,"₹ 7,00,000",olx.in,https://www.olx.in/item/mahindra-scorpio-2002-2013-vlx-bs-iv-2012-diesel-iid-1655083382
537,Mercedes-Benz R-Class (2011),2nd,2012,MANUAL,R350 4MATIC,36000.0 KM,PETROL,"₹ 15,90,000",olx.in,https://www.olx.in/item/mercedes-benz-r-class-r350-4matic-2011-petrol-iid-1655083232
538,Hyundai Santro Xing (2009),2nd,2013,MANUAL,GLS LPG,80000.0 KM,LPG,"₹ 2,00,000",olx.in,https://www.olx.in/item/hyundai-santro-xing-gls-lpg-2009-lpg-iid-1655082633
539,Honda Civic (2012),--,2018,MANUAL,,71889.0 KM,PETROL,"₹ 3,70,000",olx.in,https://www.olx.in/item/honda-civic-2012-petrol-iid-1656147226
540,Maruti Suzuki Alto K10 (2011),1st,2014,MANUAL,VXI,47859.0 KM,PETROL,"₹ 1,99,991",olx.in,https://www.olx.in/item/maruti-suzuki-alto-k10-vxi-2011-petrol-iid-1655841150
541,Hyundai Fluidic Verna (2016),1st,2013,MANUAL,1.6 CRDi SX,72500.0 KM,DIESEL,"₹ 5,85,000",olx.in,https://www.olx.in/item/hyundai-fluidic-verna-16-crdi-sx-2016-diesel-iid-1649153089
542,Datsun Go (2016),First,2019,MANUAL,Others,120000 KM,CNG,"₹ 1,50,000",olx.in,https://www.olx.in/item/datsun-go-2016-cng-hybrids-iid-1656556158
543,Volkswagen Polo (2015),Second,2011,MANUAL,1.5 TDI Highline Plus,999999 KM,DIESEL,"₹ 4,15,000",olx.in,https://www.olx.in/item/volkswagen-polo-2015-diesel-iid-1656553751
544,Tata Safari (2010),3rd,2012,MANUAL,Others,85000.0 KM,DIESEL,"₹ 2,15,000",olx.in,https://www.olx.in/item/tata-safari-others-2010-diesel-iid-1655082437
545,Toyota Camry (2014),1st,2018,MANUAL,2.5 Hybrid,67000.0 KM,PETROL,"₹ 12,99,000",olx.in,https://www.olx.in/item/toyota-camry-25-hybrid-2014-petrol-iid-1655082066
546,Maruti Suzuki Baleno (2015),1st,2017,MANUAL,1.3 Delta,62000.0 KM,DIESEL,"₹ 5,15,000",olx.in,https://www.olx.in/item/maruti-suzuki-baleno-13-delta-2015-diesel-iid-1655081523
547,Toyota Innova (2013),1st,2017,MANUAL,2.5 G (Diesel) 8 Seater,135000.0 KM,DIESEL,"₹ 7,50,000",olx.in,https://www.olx.in/item/toyota-innova-25-g-diesel-8-seater-2013-diesel-iid-1655081521
548,Toyota Alphard (2008),2nd,2012,MANUAL,3.0 V6,65000.0 KM,PETROL,"₹ 16,25,000",olx.in,https://www.olx.in/item/toyota-alphard-30-v6-2008-petrol-iid-1653525864
549,Toyota Innova Crysta (2016),1st,2011,MANUAL,2.4 GX MT 8S,109800.0 KM,DIESEL,"₹ 14,50,000",olx.in,https://www.olx.in/item/toyota-innova-crysta-24-gx-mt-8s-2016-diesel-iid-1653370039
